JPYHRK  : 0.0618044614
JPYCHF  : 0.0091375736
JPYMXN  : 0.1758188905
JPYZAR  : 0.1346604196
JPYINR  : 0.6530516627
JPYTHB  : 0.2778339829
JPYCNY  : 0.0651165105
JPYAUD  : 0.0134919977
JPYILS  : 0.0325416701
JPYKRW  : 10.8207148188
JPYJPY  : 1.0
JPYPLN  : 0.0354730906
JPYGBP  : 0.0071811925
JPYIDR  : 129.2700058048
JPYHUF  : 2.7271747243
JPYPHP  : 0.4722696741
JPYTRY  : 0.0530823451
JPYRUB  : 0.5873123808
JPYHKD  : 0.07218509
JPYISK  : 1.1468612654
JPYEUR  : 0.0082925616
JPYDKK  : 0.061948752
JPYCAD  : 0.0120333361
JPYMYR  : 0.0385554358
JPYUSD  : 0.0092105481
JPYBGN  : 0.0162185919
JPYNOK  : 0.0844721785
JPYRON  : 0.039433618
JPYSGD  : 0.0125549382
JPYCZK  : 0.2120242143
JPYSEK  : 0.0890994278
JPYNZD  : 0.0144754955
JPYBRL  : 0.0370942864
